posto,ano,pico,duracao,volume
itauba,1969,745.2,0,0.0
itauba,1970,1962.1,2,461.17
itauba,1971,3588.2,3,917.65
itauba,1972,2965.4,9,1854.26
itauba,1973,2618.9,3,743.18
itauba,1974,2732.8,2,603.65
itauba,1975,1969.3,2,466.62
itauba,1976,1975.4,1,341.35
itauba,1977,1996.9,5,700.17
itauba,1978,1514.5,3,481.68
itauba,1979,1736.5,5,764.23
itauba,1980,1772.5,1,306.29
itauba,1981,1185.5,1,204.85
itauba,1982,2546.9,3,726.53
itauba,1983,3215.2,4,1052.93
itauba,1984,3388.8,3,998.92
itauba,1985,1457.6,2,364.26
itauba,1986,2552.0,4,976.02
itauba,1987,2521.9,2,576.05
itauba,1988,2546.1,5,1076.72
itauba,1989,3101.2,3,773.46
itauba,1990,2226.7,2,517.6
itauba,1991,948.1,1,163.83
itauba,1992,3154.9,2,680.48
itauba,1993,1793.4,2,451.82
itauba,1994,1815.7,2,441.7
itauba,1995,1439.1,2,326.19
itauba,1996,1311.9,1,226.7
itauba,1997,3719.1,10,2287.55
itauba,1998,2170.2,4,751.86
itauba,1999,1034.2,1,178.71
itauba,2000,1989.7,2,482.24
itauba,2001,2546.4,4,904.97
itauba,2002,1823.1,2,413.77
itauba,2003,2933.0,2,657.05
itauba,2004,692.8,0,0.0
itauba,2005,1862.0,2,436.27
itauba,2006,1404.2,2,324.26
itauba,2007,3304.6,3,895.22
itauba,2008,2646.6,3,710.93
itauba,2009,2154.2,3,649.54
itauba,2010,2388.8,2,592.05
itauba,2011,2942.5,3,857.71
itauba,2012,1863.8,1,322.06
itauba,2013,1654.6,2,364.84
itauba,2014,2288.4,2,501.56
itauba,2015,2689.1,4,883.38
itauba,2016,2481.2,2,563.42
itauba,2017,2951.5,17,2721.19
itauba,2018,1628.1,2,415.31
itauba,2019,2151.8,1,371.83
itauba,2020,3556.4,4,1118.71
itauba,2021,1313.4,2,313.76
itauba,2022,1871.0,3,534.84
itauba,2023,4091.3,6,1391.53
dona_francisca,1941,4487.3,13,3432.27
dona_francisca,1942,2381.0,4,873.75
dona_francisca,1943,1359.0,1,234.84
dona_francisca,1944,1790.9,2,443.34
dona_francisca,1945,1539.3,3,488.85
dona_francisca,1946,1557.2,2,368.98
dona_francisca,1947,1328.5,1,229.56
dona_francisca,1948,1534.9,2,364.96
dona_francisca,1949,919.7,0,0.0
dona_francisca,1950,2991.0,3,829.34
dona_francisca,1951,1154.9,1,199.57
dona_francisca,1952,1074.4,1,185.66
dona_francisca,1953,2625.2,13,2109.03
dona_francisca,1954,2282.6,5,943.73
dona_francisca,1955,2244.9,2,551.53
dona_francisca,1956,2994.9,3,831.38
dona_francisca,1957,1692.0,1,292.38
dona_francisca,1958,2717.7,3,770.52
dona_francisca,1959,2700.1,3,860.95
dona_francisca,1960,2114.5,2,458.29
dona_francisca,1961,3466.1,8,1833.55
